algo,serie,taille,temps
brute,N1000,0,Time: 0.003078
brute,N1000,1,Time: 0.003104
brute,N1000,2,Time: 0.003016
brute,N1000,3,Time: 0.002890
brute,N1000,4,Time: 0.003271
brute,N10000,0,Time: 0.333051
brute,N10000,1,Time: 0.329800
brute,N10000,2,Time: 0.319396
brute,N10000,3,Time: 0.327695
brute,N10000,4,Time: 0.328615
brute,N100000,0,Time: 43.961725
brute,N100000,1,Time: 38.707919
brute,N100000,2,Time: 38.316214
brute,N100000,3,Time: 38.637902
brute,N100000,4,Time: 37.787533
brute,N5000,0,Time: 0.077583
brute,N5000,1,Time: 0.078112
brute,N5000,2,Time: 0.076649
brute,N5000,3,Time: 0.075677
brute,N5000,4,Time: 0.079511
brute,N50000,0,Time: 8.185641
brute,N50000,1,Time: 8.187053
brute,N50000,2,Time: 8.159447
brute,N50000,3,Time: 8.180985
brute,N50000,4,Time: 8.236616
brute,N500000,0,
brute,N500000,1,
brute,N500000,2,
brute,N500000,3,
brute,N500000,4,
recur,N1000,0,Time: 0.000204
recur,N1000,1,Time: 0.000216
recur,N1000,2,Time: 0.000209
recur,N1000,3,Time: 0.000208
recur,N1000,4,Time: 0.000192
recur,N10000,0,Time: 0.002142
recur,N10000,1,Time: 0.002144
recur,N10000,2,Time: 0.002138
recur,N10000,3,Time: 0.002119
recur,N10000,4,Time: 0.002152
recur,N100000,0,Time: 0.025273
recur,N100000,1,Time: 0.024481
recur,N100000,2,Time: 0.024447
recur,N100000,3,Time: 0.024585
recur,N100000,4,Time: 0.024607
recur,N5000,0,Time: 0.001419
recur,N5000,1,Time: 0.001537
recur,N5000,2,Time: 0.001900
recur,N5000,3,Time: 0.001156
recur,N5000,4,Time: 0.001111
recur,N50000,0,Time: 0.012167
recur,N50000,1,Time: 0.012191
recur,N50000,2,Time: 0.011644
recur,N50000,3,Time: 0.011774
recur,N50000,4,Time: 0.011535
recur,N500000,0,Time: 0.135457
recur,N500000,1,Time: 0.134525
recur,N500000,2,Time: 0.135956
recur,N500000,3,Time: 0.136239
recur,N500000,4,Time: 0.135914
seuil,N1000,0,Time: 0.000275
seuil,N1000,1,Time: 0.000329
seuil,N1000,2,Time: 0.000421
seuil,N1000,3,Time: 0.000391
seuil,N1000,4,Time: 0.000475
seuil,N10000,0,Time: 0.004221
seuil,N10000,1,Time: 0.002691
seuil,N10000,2,Time: 0.003076
seuil,N10000,3,Time: 0.003468
seuil,N10000,4,Time: 0.003881
seuil,N100000,0,Time: 0.029525
seuil,N100000,1,Time: 0.029315
seuil,N100000,2,Time: 0.029584
seuil,N100000,3,Time: 0.029345
seuil,N100000,4,Time: 0.029398
seuil,N5000,0,Time: 0.001663
seuil,N5000,1,Time: 0.001799
seuil,N5000,2,Time: 0.001881
seuil,N5000,3,Time: 0.001883
seuil,N5000,4,Time: 0.002043
seuil,N50000,0,Time: 0.013921
seuil,N50000,1,Time: 0.014264
seuil,N50000,2,Time: 0.014045
seuil,N50000,3,Time: 0.015107
seuil,N50000,4,Time: 0.014097
seuil,N500000,0,Time: 0.161883
seuil,N500000,1,Time: 0.162177
seuil,N500000,2,Time: 0.162533
seuil,N500000,3,Time: 0.163663
seuil,N500000,4,Time: 0.161925
